run_id,k_si,n_si,spec_r,pte_8,pte_8_error
1,0.5,0.5,0.0,0.00224,0.00014966629547095766
2,0.5,0.5,0.041666666666666664,0.0024,0.0001549193338482967
3,0.5,0.5,0.08333333333333333,0.00248,0.00015748015748023623
4,0.5,0.5,0.125,0.00254,0.00015937377450509228
5,0.5,0.5,0.16666666666666666,0.00263,0.00016217274740226855
6,0.5,0.5,0.20833333333333331,0.00269,0.00016401219466856726
7,0.5,0.5,0.25,0.00279,0.00016703293088490067
8,0.5,0.5,0.29166666666666663,0.00284,0.00016852299546352717
9,0.5,0.5,0.3333333333333333,0.00288,0.0001697056274847714
10,0.5,0.5,0.375,0.00294,0.00017146428199482248
11,0.5,0.5,0.41666666666666663,0.00299,0.00017291616465790584
12,0.5,0.5,0.4583333333333333,0.00312,0.00017663521732655694
13,0.5,0.5,0.5,0.00329,0.00018138357147217052
14,0.5,0.5,0.5416666666666666,0.00335,0.00018303005217723125
15,0.5,0.5,0.5833333333333333,0.00341,0.00018466185312619387
16,0.5,0.5,0.625,0.00351,0.00018734993995195192
17,0.5,0.5,0.6666666666666666,0.00358,0.00018920887928424503
18,0.5,0.5,0.7083333333333333,0.00365,0.000191049731745428
19,0.5,0.5,0.75,0.00366,0.00019131126469708993
20,0.5,0.5,0.7916666666666666,0.00373,0.00019313207915827967
21,0.5,0.5,0.8333333333333333,0.00382,0.00019544820285692066
22,0.5,0.5,0.875,0.00395,0.0001987460691435179
23,0.5,0.5,0.9166666666666666,0.00397,0.00019924858845171275
24,0.5,0.5,0.9583333333333333,0.00408,0.00020199009876724155
25,0.5,0.5,1.0,0.00412,0.00020297783130184438
26,0.5375,0.5,0.0,0.00221,0.00014866068747318507
27,0.5375,0.5,0.041666666666666664,0.00234,0.00015297058540778355
28,0.5375,0.5,0.08333333333333333,0.00241,0.00015524174696260025
29,0.5375,0.5,0.125,0.00247,0.0001571623364550171
30,0.5375,0.5,0.16666666666666666,0.00255,0.00015968719422671313
31,0.5375,0.5,0.20833333333333331,0.00261,0.00016155494421403512
32,0.5375,0.5,0.25,0.00273,0.00016522711641858305
33,0.5375,0.5,0.29166666666666663,0.00278,0.00016673332000533066
34,0.5375,0.5,0.3333333333333333,0.00282,0.00016792855623746665
35,0.5375,0.5,0.375,0.00288,0.0001697056274847714
36,0.5375,0.5,0.41666666666666663,0.00293,0.0001711724276862369
37,0.5375,0.5,0.4583333333333333,0.00307,0.00017521415467935231
38,0.5375,0.5,0.5,0.00324,0.00018
39,0.5375,0.5,0.5416666666666666,0.0033,0.00018165902124584948
40,0.5375,0.5,0.5833333333333333,0.00336,0.00018330302779823358
41,0.5375,0.5,0.625,0.00346,0.00018601075237738274
42,0.5375,0.5,0.6666666666666666,0.00353,0.00018788294228055935
43,0.5375,0.5,0.7083333333333333,0.0036,0.00018973665961010276
44,0.5375,0.5,0.75,0.00361,0.00019
45,0.5375,0.5,0.7916666666666666,0.00368,0.00019183326093250876
46,0.5375,0.5,0.8333333333333333,0.00376,0.00019390719429665317
47,0.5375,0.5,0.875,0.0039,0.00019748417658131497
48,0.5375,0.5,0.9166666666666666,0.00391,0.0001977371993328519
49,0.5375,0.5,0.9583333333333333,0.00402,0.00020049937655763423
50,0.5375,0.5,1.0,0.00406,0.00020149441679609886
51,0.575,0.5,0.0,0.00218,0.000147648230602334
52,0.575,0.5,0.041666666666666664,0.00232,0.00015231546211727818
53,0.575,0.5,0.08333333333333333,0.00239,0.00015459624833740306
54,0.575,0.5,0.125,0.00245,0.00015652475842498528
55,0.575,0.5,0.16666666666666666,0.00253,0.00015905973720586867
56,0.575,0.5,0.20833333333333331,0.00258,0.0001606237840420901
57,0.575,0.5,0.25,0.0027,0.00016431676725154983
58,0.575,0.5,0.29166666666666663,0.00275,0.00016583123951777
59,0.575,0.5,0.3333333333333333,0.00279,0.00016703293088490067
60,0.575,0.5,0.375,0.00286,0.00016911534525287762
61,0.575,0.5,0.41666666666666663,0.00291,0.00017058722109231978
62,0.575,0.5,0.4583333333333333,0.00305,0.0001746424919657298
63,0.575,0.5,0.5,0.00321,0.00017916472867168917
64,0.575,0.5,0.5416666666666666,0.00327,0.00018083141320025125
65,0.575,0.5,0.5833333333333333,0.00333,0.0001824828759089466
66,0.575,0.5,0.625,0.00343,0.00018520259177452135
67,0.575,0.5,0.6666666666666666,0.0035,0.00018708286933869707
68,0.575,0.5,0.7083333333333333,0.00357,0.00018894443627691184
69,0.575,0.5,0.75,0.00357,0.00018894443627691184
70,0.575,0.5,0.7916666666666666,0.00364,0.00019078784028338914
71,0.575,0.5,0.8333333333333333,0.00371,0.00019261360284258223
72,0.575,0.5,0.875,0.00385,0.00019621416870348583
73,0.575,0.5,0.9166666666666666,0.00386,0.000196468827043885
74,0.575,0.5,0.9583333333333333,0.00397,0.00019924858845171275
75,0.575,0.5,1.0,0.00401,0.00020024984394500787
76,0.6125,0.5,0.0,0.00218,0.000147648230602334
77,0.6125,0.5,0.041666666666666664,0.00232,0.00015231546211727818
78,0.6125,0.5,0.08333333333333333,0.00239,0.00015459624833740306
79,0.6125,0.5,0.125,0.00246,0.00015684387141358123
80,0.6125,0.5,0.16666666666666666,0.00253,0.00015905973720586867
81,0.6125,0.5,0.20833333333333331,0.00258,0.0001606237840420901
82,0.6125,0.5,0.25,0.0027,0.00016431676725154983
83,0.6125,0.5,0.29166666666666663,0.00275,0.00016583123951777
84,0.6125,0.5,0.3333333333333333,0.00279,0.00016703293088490067
85,0.6125,0.5,0.375,0.00286,0.00016911534525287762
86,0.6125,0.5,0.41666666666666663,0.00291,0.00017058722109231978
87,0.6125,0.5,0.4583333333333333,0.00304,0.00017435595774162695
88,0.6125,0.5,0.5,0.0032,0.00017888543819998318
89,0.6125,0.5,0.5416666666666666,0.00326,0.0001805547008526779
90,0.6125,0.5,0.5833333333333333,0.00332,0.00018220867158288598
91,0.6125,0.5,0.625,0.00342,0.00018493242008906928
92,0.6125,0.5,0.6666666666666666,0.00349,0.00018681541692269405
93,0.6125,0.5,0.7083333333333333,0.00356,0.00018867962264113207
94,0.6125,0.5,0.75,0.00356,0.00018867962264113207
95,0.6125,0.5,0.7916666666666666,0.00363,0.00019052558883257648
96,0.6125,0.5,0.8333333333333333,0.0037,0.00019235384061671342
97,0.6125,0.5,0.875,0.00383,0.00019570385790780925
98,0.6125,0.5,0.9166666666666666,0.00384,0.00019595917942265422
99,0.6125,0.5,0.9583333333333333,0.00395,0.0001987460691435179
100,0.6125,0.5,1.0,0.00399,0.00019974984355438177
101,0.65,0.5,0.0,0.00216,0.0001469693845669907
102,0.65,0.5,0.041666666666666664,0.0023,0.000151657508881031
103,0.65,0.5,0.08333333333333333,0.00237,0.00015394804318340653
104,0.65,0.5,0.125,0.00244,0.0001562049935181331
105,0.65,0.5,0.16666666666666666,0.00251,0.0001584297951775486
106,0.65,0.5,0.20833333333333331,0.00255,0.00015968719422671313
107,0.65,0.5,0.25,0.00266,0.0001630950643030009
108,0.65,0.5,0.29166666666666663,0.00271,0.0001646207763315433
109,0.65,0.5,0.3333333333333333,0.00275,0.00016583123951777
110,0.65,0.5,0.375,0.00283,0.0001682260384126072
111,0.65,0.5,0.41666666666666663,0.00288,0.0001697056274847714
112,0.65,0.5,0.4583333333333333,0.00301,0.00017349351572897473
113,0.65,0.5,0.5,0.00317,0.00017804493814764857
114,0.65,0.5,0.5416666666666666,0.00323,0.0001797220075561143
115,0.65,0.5,0.5833333333333333,0.00329,0.00018138357147217052
116,0.65,0.5,0.625,0.00338,0.00018384776310850234
117,0.65,0.5,0.6666666666666666,0.00346,0.00018601075237738274
118,0.65,0.5,0.7083333333333333,0.00353,0.00018788294228055935
119,0.65,0.5,0.75,0.00353,0.00018788294228055935
120,0.65,0.5,0.7916666666666666,0.0036,0.00018973665961010276
121,0.65,0.5,0.8333333333333333,0.00367,0.00019157244060668017
122,0.65,0.5,0.875,0.0038,0.00019493588689617925
123,0.65,0.5,0.9166666666666666,0.00381,0.00019519221295943138
124,0.65,0.5,0.9583333333333333,0.00392,0.0001979898987322333
125,0.65,0.5,1.0,0.00395,0.0001987460691435179
126,0.6875,0.5,0.0,0.00216,0.0001469693845669907
127,0.6875,0.5,0.041666666666666664,0.0023,0.000151657508881031
128,0.6875,0.5,0.08333333333333333,0.00236,0.00015362291495737217
129,0.6875,0.5,0.125,0.00242,0.00015556349186104045
130,0.6875,0.5,0.16666666666666666,0.00249,0.000157797338380595
131,0.6875,0.5,0.20833333333333331,0.00253,0.00015905973720586867
132,0.6875,0.5,0.25,0.00264,0.0001624807680927192
133,0.6875,0.5,0.29166666666666663,0.00269,0.00016401219466856726
134,0.6875,0.5,0.3333333333333333,0.00273,0.00016522711641858305
135,0.6875,0.5,0.375,0.00282,0.00016792855623746665
136,0.6875,0.5,0.41666666666666663,0.00287,0.00016941074346097417
137,0.6875,0.5,0.4583333333333333,0.003,0.00017320508075688776
138,0.6875,0.5,0.5,0.00316,0.00017776388834631177
139,0.6875,0.5,0.5416666666666666,0.00321,0.00017916472867168917
140,0.6875,0.5,0.5833333333333333,0.00327,0.00018083141320025125
141,0.6875,0.5,0.625,0.00336,0.00018330302779823358
142,0.6875,0.5,0.6666666666666666,0.00344,0.0001854723699099141
143,0.6875,0.5,0.7083333333333333,0.00351,0.00018734993995195192
144,0.6875,0.5,0.75,0.00351,0.00018734993995195192
145,0.6875,0.5,0.7916666666666666,0.00357,0.00018894443627691184
146,0.6875,0.5,0.8333333333333333,0.00364,0.00019078784028338914
147,0.6875,0.5,0.875,0.00376,0.00019390719429665317
148,0.6875,0.5,0.9166666666666666,0.00378,0.0001944222209522358
149,0.6875,0.5,0.9583333333333333,0.00389,0.0001972308292331602
150,0.6875,0.5,1.0,0.00392,0.0001979898987322333
151,0.725,0.5,0.0,0.00216,0.0001469693845669907
152,0.725,0.5,0.041666666666666664,0.0023,0.000151657508881031
153,0.725,0.5,0.08333333333333333,0.00236,0.00015362291495737217
154,0.725,0.5,0.125,0.00242,0.00015556349186104045
155,0.725,0.5,0.16666666666666666,0.00249,0.000157797338380595
156,0.725,0.5,0.20833333333333331,0.00253,0.00015905973720586867
157,0.725,0.5,0.25,0.00264,0.0001624807680927192
158,0.725,0.5,0.29166666666666663,0.00269,0.00016401219466856726
159,0.725,0.5,0.3333333333333333,0.00273,0.00016522711641858305
160,0.725,0.5,0.375,0.00282,0.00016792855623746665
161,0.725,0.5,0.41666666666666663,0.00287,0.00016941074346097417
162,0.725,0.5,0.4583333333333333,0.003,0.00017320508075688776
163,0.725,0.5,0.5,0.00316,0.00017776388834631177
164,0.725,0.5,0.5416666666666666,0.00321,0.00017916472867168917
165,0.725,0.5,0.5833333333333333,0.00327,0.00018083141320025125
166,0.725,0.5,0.625,0.00336,0.00018330302779823358
167,0.725,0.5,0.6666666666666666,0.00344,0.0001854723699099141
168,0.725,0.5,0.7083333333333333,0.00351,0.00018734993995195192
169,0.725,0.5,0.75,0.00351,0.00018734993995195192
170,0.725,0.5,0.7916666666666666,0.00357,0.00018894443627691184
171,0.725,0.5,0.8333333333333333,0.00364,0.00019078784028338914
172,0.725,0.5,0.875,0.00376,0.00019390719429665317
173,0.725,0.5,0.9166666666666666,0.00378,0.0001944222209522358
174,0.725,0.5,0.9583333333333333,0.00389,0.0001972308292331602
175,0.725,0.5,1.0,0.00392,0.0001979898987322333
176,0.7625,0.5,0.0,0.00215,0.0001466287829861518
177,0.7625,0.5,0.041666666666666664,0.00229,0.00015132745950421556
178,0.7625,0.5,0.08333333333333333,0.00234,0.00015297058540778355
179,0.7625,0.5,0.125,0.00239,0.00015459624833740306
180,0.7625,0.5,0.16666666666666666,0.00246,0.00015684387141358123
181,0.7625,0.5,0.20833333333333331,0.0025,0.00015811388300841897
182,0.7625,0.5,0.25,0.00261,0.00016155494421403512
183,0.7625,0.5,0.29166666666666663,0.00266,0.0001630950643030009
184,0.7625,0.5,0.3333333333333333,0.0027,0.00016431676725154983
185,0.7625,0.5,0.375,0.00279,0.00016703293088490067
186,0.7625,0.5,0.41666666666666663,0.00284,0.00016852299546352717
187,0.7625,0.5,0.4583333333333333,0.00297,0.00017233687939614085
188,0.7625,0.5,0.5,0.00313,0.00017691806012954132
189,0.7625,0.5,0.5416666666666666,0.00318,0.00017832554500127006
190,0.7625,0.5,0.5833333333333333,0.00324,0.00018
191,0.7625,0.5,0.625,0.00333,0.0001824828759089466
192,0.7625,0.5,0.6666666666666666,0.00342,0.00018493242008906928
193,0.7625,0.5,0.7083333333333333,0.00349,0.00018681541692269405
194,0.7625,0.5,0.75,0.00349,0.00018681541692269405
195,0.7625,0.5,0.7916666666666666,0.00355,0.00018841443681416774
196,0.7625,0.5,0.8333333333333333,0.00362,0.00019026297590440445
197,0.7625,0.5,0.875,0.00374,0.00019339079605813715
198,0.7625,0.5,0.9166666666666666,0.00376,0.00019390719429665317
199,0.7625,0.5,0.9583333333333333,0.00386,0.000196468827043885
200,0.7625,0.5,1.0,0.00389,0.0001972308292331602
201,0.8,0.5,0.0,0.00215,0.0001466287829861518
202,0.8,0.5,0.041666666666666664,0.00229,0.00015132745950421556
203,0.8,0.5,0.08333333333333333,0.00234,0.00015297058540778355
204,0.8,0.5,0.125,0.00239,0.00015459624833740306
205,0.8,0.5,0.16666666666666666,0.00246,0.00015684387141358123
206,0.8,0.5,0.20833333333333331,0.0025,0.00015811388300841897
207,0.8,0.5,0.25,0.00261,0.00016155494421403512
208,0.8,0.5,0.29166666666666663,0.00266,0.0001630950643030009
209,0.8,0.5,0.3333333333333333,0.0027,0.00016431676725154983
210,0.8,0.5,0.375,0.00279,0.00016703293088490067
211,0.8,0.5,0.41666666666666663,0.00284,0.00016852299546352717
212,0.8,0.5,0.4583333333333333,0.00296,0.00017204650534085252
213,0.8,0.5,0.5,0.00312,0.00017663521732655694
214,0.8,0.5,0.5416666666666666,0.00317,0.00017804493814764857
215,0.8,0.5,0.5833333333333333,0.00323,0.0001797220075561143
216,0.8,0.5,0.625,0.00332,0.00018220867158288598
217,0.8,0.5,0.6666666666666666,0.00341,0.00018466185312619387
218,0.8,0.5,0.7083333333333333,0.00348,0.00018654758106177632
219,0.8,0.5,0.75,0.00348,0.00018654758106177632
220,0.8,0.5,0.7916666666666666,0.00354,0.0001881488772222678
221,0.8,0.5,0.8333333333333333,0.00361,0.00019
222,0.8,0.5,0.875,0.00372,0.0001928730152198591
223,0.8,0.5,0.9166666666666666,0.00374,0.00019339079605813715
224,0.8,0.5,0.9583333333333333,0.00384,0.00019595917942265422
225,0.8,0.5,1.0,0.00387,0.00019672315572906
226,0.8374999999999999,0.5,0.0,0.00215,0.0001466287829861518
227,0.8374999999999999,0.5,0.041666666666666664,0.00229,0.00015132745950421556
228,0.8374999999999999,0.5,0.08333333333333333,0.00234,0.00015297058540778355
229,0.8374999999999999,0.5,0.125,0.00238,0.00015427248620541512
230,0.8374999999999999,0.5,0.16666666666666666,0.00245,0.00015652475842498528
231,0.8374999999999999,0.5,0.20833333333333331,0.00249,0.000157797338380595
232,0.8374999999999999,0.5,0.25,0.0026,0.00016124515496597098
233,0.8374999999999999,0.5,0.29166666666666663,0.00265,0.00016278820596099706
234,0.8374999999999999,0.5,0.3333333333333333,0.00269,0.00016401219466856726
235,0.8374999999999999,0.5,0.375,0.00278,0.00016673332000533066
236,0.8374999999999999,0.5,0.41666666666666663,0.00283,0.0001682260384126072
237,0.8374999999999999,0.5,0.4583333333333333,0.00295,0.00017175564037317666
238,0.8374999999999999,0.5,0.5,0.00311,0.00017635192088548396
239,0.8374999999999999,0.5,0.5416666666666666,0.00316,0.00017776388834631177
240,0.8374999999999999,0.5,0.5833333333333333,0.00322,0.0001794435844492636
241,0.8374999999999999,0.5,0.625,0.00331,0.00018193405398660254
242,0.8374999999999999,0.5,0.6666666666666666,0.0034,0.00018439088914585773
243,0.8374999999999999,0.5,0.7083333333333333,0.00347,0.00018627936010197157
244,0.8374999999999999,0.5,0.75,0.00347,0.00018627936010197157
245,0.8374999999999999,0.5,0.7916666666666666,0.00353,0.00018788294228055935
246,0.8374999999999999,0.5,0.8333333333333333,0.0036,0.00018973665961010276
247,0.8374999999999999,0.5,0.875,0.00371,0.00019261360284258223
248,0.8374999999999999,0.5,0.9166666666666666,0.00373,0.00019313207915827967
249,0.8374999999999999,0.5,0.9583333333333333,0.00383,0.00019570385790780925
250,0.8374999999999999,0.5,1.0,0.00386,0.000196468827043885
251,0.875,0.5,0.0,0.00214,0.00014628738838327792
252,0.875,0.5,0.041666666666666664,0.00228,0.000150996688705415
253,0.875,0.5,0.08333333333333333,0.00233,0.00015264337522473748
254,0.875,0.5,0.125,0.00238,0.00015427248620541512
255,0.875,0.5,0.16666666666666666,0.00245,0.00015652475842498528
256,0.875,0.5,0.20833333333333331,0.00249,0.000157797338380595
257,0.875,0.5,0.25,0.00261,0.00016155494421403512
258,0.875,0.5,0.29166666666666663,0.00266,0.0001630950643030009
259,0.875,0.5,0.3333333333333333,0.0027,0.00016431676725154983
260,0.875,0.5,0.375,0.00279,0.00016703293088490067
261,0.875,0.5,0.41666666666666663,0.00284,0.00016852299546352717
262,0.875,0.5,0.4583333333333333,0.00296,0.00017204650534085252
263,0.875,0.5,0.5,0.00312,0.00017663521732655694
264,0.875,0.5,0.5416666666666666,0.00317,0.00017804493814764857
265,0.875,0.5,0.5833333333333333,0.00323,0.0001797220075561143
266,0.875,0.5,0.625,0.00332,0.00018220867158288598
267,0.875,0.5,0.6666666666666666,0.00341,0.00018466185312619387
268,0.875,0.5,0.7083333333333333,0.00348,0.00018654758106177632
269,0.875,0.5,0.75,0.00348,0.00018654758106177632
270,0.875,0.5,0.7916666666666666,0.00354,0.0001881488772222678
271,0.875,0.5,0.8333333333333333,0.00361,0.00019
272,0.875,0.5,0.875,0.00372,0.0001928730152198591
273,0.875,0.5,0.9166666666666666,0.00374,0.00019339079605813715
274,0.875,0.5,0.9583333333333333,0.00384,0.00019595917942265422
275,0.875,0.5,1.0,0.00387,0.00019672315572906
276,0.9125,0.5,0.0,0.00213,0.00014594519519326425
277,0.9125,0.5,0.041666666666666664,0.00226,0.00015033296378372908
278,0.9125,0.5,0.08333333333333333,0.00232,0.00015231546211727818
279,0.9125,0.5,0.125,0.00237,0.00015394804318340653
280,0.9125,0.5,0.16666666666666666,0.00244,0.0001562049935181331
281,0.9125,0.5,0.20833333333333331,0.00247,0.0001571623364550171
282,0.9125,0.5,0.25,0.00259,0.00016093476939431082
283,0.9125,0.5,0.29166666666666663,0.00264,0.0001624807680927192
284,0.9125,0.5,0.3333333333333333,0.00268,0.000163707055437449
285,0.9125,0.5,0.375,0.00277,0.00016643316977093238
286,0.9125,0.5,0.41666666666666663,0.00282,0.00016792855623746665
287,0.9125,0.5,0.4583333333333333,0.00294,0.00017146428199482248
288,0.9125,0.5,0.5,0.0031,0.0001760681686165901
289,0.9125,0.5,0.5416666666666666,0.00315,0.00017748239349298848
290,0.9125,0.5,0.5833333333333333,0.00321,0.00017916472867168917
291,0.9125,0.5,0.625,0.0033,0.00018165902124584948
292,0.9125,0.5,0.6666666666666666,0.00339,0.00018411952639521968
293,0.9125,0.5,0.7083333333333333,0.00346,0.00018601075237738274
294,0.9125,0.5,0.75,0.00346,0.00018601075237738274
295,0.9125,0.5,0.7916666666666666,0.00352,0.0001876166303929372
296,0.9125,0.5,0.8333333333333333,0.00359,0.00018947295321496415
297,0.9125,0.5,0.875,0.0037,0.00019235384061671342
298,0.9125,0.5,0.9166666666666666,0.00372,0.0001928730152198591
299,0.9125,0.5,0.9583333333333333,0.00382,0.00019544820285692066
300,0.9125,0.5,1.0,0.00385,0.00019621416870348583
301,0.95,0.5,0.0,0.00214,0.00014628738838327792
302,0.95,0.5,0.041666666666666664,0.00227,0.00015066519173319363
303,0.95,0.5,0.08333333333333333,0.00233,0.00015264337522473748
304,0.95,0.5,0.125,0.00238,0.00015427248620541512
305,0.95,0.5,0.16666666666666666,0.00245,0.00015652475842498528
306,0.95,0.5,0.20833333333333331,0.00248,0.00015748015748023623
307,0.95,0.5,0.25,0.0026,0.00016124515496597098
308,0.95,0.5,0.29166666666666663,0.00265,0.00016278820596099706
309,0.95,0.5,0.3333333333333333,0.00269,0.00016401219466856726
310,0.95,0.5,0.375,0.00278,0.00016673332000533066
311,0.95,0.5,0.41666666666666663,0.00283,0.0001682260384126072
312,0.95,0.5,0.4583333333333333,0.00295,0.00017175564037317666
313,0.95,0.5,0.5,0.00311,0.00017635192088548396
314,0.95,0.5,0.5416666666666666,0.00316,0.00017776388834631177
315,0.95,0.5,0.5833333333333333,0.00322,0.0001794435844492636
